pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad,radius_frac_error
K2-70 b,K2-70,2016,Transit,13.97896,2.89,0.47,-0.47,5622.0,0.93,0.16262975778546712
Kepler-1578 b,Kepler-1578,2016,Transit,1.450886907,1.04,0.11,-0.11,5545.0,0.86,0.10576923076923077
WASP-84 c,WASP-84,2023,Transit,1.4468849,1.95,0.12,-0.12,5280.0,0.768,0.061538461538461535
TOI-776 c,TOI-776,2020,Transit,15.665323,2.047,0.081,-0.078,3725.0,0.547,0.03957010258915486
Kepler-212 b,Kepler-212,2014,Transit,16.257582,1.09,0.21,-0.21,5852.0,1.455,0.19266055045871558
Kepler-1577 b,Kepler-1577,2016,Transit,6.30560247,1.13,0.05,-0.11,4862.0,0.74,0.09734513274336284
Kepler-55 d,Kepler-55,2014,Transit,2.211099,1.59,0.09,-0.09,4503.0,0.619,0.056603773584905655
EPIC 212499991 b,EPIC 212499991,2019,Transit,34.885,1.6,0.13,-0.16,4982.79,0.757541,0.09999999999999999
Kepler-1608 b,Kepler-1608,2016,Transit,16.4735686,1.73,0.16,-0.19,4992.0,0.72,0.10982658959537572
Kepler-152 b,Kepler-152,2014,Transit,18.207973,2.79,0.17,-0.17,5088.0,0.724,0.06093189964157707
HIP 8152 c,HIP 8152,2023,Transit,19.60562,2.52442508,0.14962921,-0.14078921,5618.0,0.9603,0.059272588909630074
Kepler-899 b,Kepler-899,2016,Transit,19.17891293,2.68,0.46,-0.26,5595.0,0.91,0.17164179104477612
HD 110067 b,HD 110067,2023,Transit,9.113678,2.2,0.03,-0.03,5266.0,0.788,0.013636363636363634
K2-272 b,K2-272,2018,Transit,14.4536756,3.13,0.38,-0.21,5397.0,0.83,0.12140575079872205
K2-61 b,K2-61,2016,Transit,2.57336,1.92,0.11,-0.05,5748.0,0.995,0.05729166666666667
Kepler-1329 b,Kepler-1329,2016,Transit,9.33646594,2.17,0.06,-0.16,4500.0,0.69,0.07373271889400922
Kepler-835 b,Kepler-835,2016,Transit,11.41909375,2.79,0.54,-0.29,5954.0,1.11,0.19354838709677422
Kepler-1143 b,Kepler-1143,2016,Transit,2.888904849,1.67,0.13,-0.11,5053.0,0.77,0.07784431137724551
Kepler-136 b,Kepler-136,2014,Transit,11.5789,2.05,0.38,-0.38,6165.0,1.355,0.1853658536585366
TOI-1680 b,TOI-1680,2023,Transit,4.8026345,1.466,0.063,-0.049,3225.0,0.2106,0.042974079126875855
Kepler-146 c,Kepler-146,2014,Transit,76.732171,3.13,0.59,-0.59,5948.0,1.208,0.18849840255591055
Kepler-507 b,Kepler-507,2016,Transit,3.568096926,1.3,0.24,-0.17,6113.0,1.32,0.1846153846153846
TOI-5704 b,TOI-5704,2023,Transit,3.771116,3.2274,0.1873,-0.1398,4590.0,0.7575,0.058034331040466014
TOI-2076 e,TOI-2076,2025,Transit,3.0223753,1.301,0.059,-0.059,5187.0,0.758,0.045349730976172176
HD 63433 d,HD 63433,2023,Transit,4.209075,1.073,0.046,-0.044,5688.0,0.912,0.04287045666356011
