pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad
Kepler-191 b,Kepler-191,2014,Transit,9.939632,1.34,0.66,-0.66,5282.0,0.789
Kepler-917 b,Kepler-917,2016,Transit,2.970414375,1.91,0.24,-0.17,5418.0,0.76
TOI-1224 c,TOI-1224,2024,Transit,17.945466,2.884,0.098,-0.098,3326.0,0.404
TOI-1422 b,TOI-1422,2022,Transit,12.99894,3.83,0.11,-0.11,5840.0,1.019
Kepler-980 b,Kepler-980,2016,Transit,11.55102504,2.67,0.23,-0.45,5935.0,1.06
HATS-59 b,HATS-59,2018,Transit,5.416081,12.621334,0.863093,-0.863093,5670.0,1.036
Kepler-580 b,Kepler-580,2016,Transit,8.222419656,2.57,0.29,-0.13,4298.0,0.64
HD 152843 c,HD 152843,2021,Transit,19.502104,5.94,0.18,-0.16,6310.0,1.43
TOI-4342 b,TOI-4342,2023,Transit,5.5382592,2.329,0.086,-0.085,3866.0,0.598
Kepler-193 c,Kepler-193,2014,Transit,50.697494,2.75,1.24,-1.24,6335.0,1.147
K2-269 b,K2-269,2018,Transit,4.144965,1.57,0.12,-0.12,6209.0,1.45
KOI-12 b,KOI-12,2015,Transit,17.855182,13.78707,0.67254,-0.56045,6635.0,1.4
Kepler-1773 b,Kepler-1773,2021,Transit,40.80970001,3.50469499,,,6183.0,1.3
NGTS-16 b,NGTS-16,2021,Transit,4.84532,14.57167491,1.45716749,-1.34507768,5550.0,1.213
Kepler-637 b,Kepler-637,2016,Transit,23.20584623,4.75,0.51,-0.56,6096.0,2.56
K2-30 b,K2-30,2016,Transit,4.098503,11.646151,0.56045,-0.571659,5425.0,0.844
Kepler-1675 b,Kepler-1675,2020,Transit,63.0382,3.12483349,,,5853.19,1.12865
Kepler-1788 b,Kepler-1788,2021,Transit,2.800120115,2.37850461,,,4786.0,0.704
Kepler-497 b,Kepler-497,2016,Transit,3.573203671,6.04,1.58,-0.66,5834.0,1.11
Kepler-179 c,Kepler-179,2014,Transit,6.40013,2.0,0.81,-0.81,5302.0,0.759
Kepler-668 b,Kepler-668,2016,Transit,8.35390639,2.7,0.23,-0.18,5352.0,0.82
Kepler-205 b,Kepler-205,2014,Transit,2.75564,1.51,0.14,-0.14,4321.0,0.546
Kepler-1156 b,Kepler-1156,2016,Transit,11.89520511,1.32,0.14,-0.09,5778.0,1.0
HR 858 c,HR 858,2019,Transit,5.973865,1.979,0.054,-0.051,6354.0,1.258
Kepler-989 b,Kepler-989,2016,Transit,7.964315352,2.21,0.14,-0.13,5074.0,0.78
K2-351 b,K2-351,2021,Transit,7.806164,2.54,0.25,-0.19,5769.0,1.05
HD 22946 d,HD 22946,2023,Transit,47.42489,2.607,0.06,-0.06,6169.0,1.117
Kepler-1446 b,Kepler-1446,2016,Transit,0.689967832,0.82,0.04,-0.02,4865.0,0.75
Kepler-1697 b,Kepler-1697,2020,Transit,33.4969,1.25954761,,,4681.53,0.772344
Kepler-674 b,Kepler-674,2016,Transit,2.243381847,1.69,0.1,-0.07,4192.0,0.57
Kepler-1269 b,Kepler-1269,2016,Transit,37.3331536,1.63,0.46,-0.18,5998.0,1.15
Kepler-1576 b,Kepler-1576,2016,Transit,6.98471973,1.04,0.29,-0.13,5876.0,1.06
Kepler-1796 b,Kepler-1796,2021,Transit,29.4557991,2.75047868,,,6036.0,0.949
Kepler-972 b,Kepler-972,2016,Transit,7.03932553,4.65,1.52,-1.1,6146.0,1.22
Kepler-1508 b,Kepler-1508,2016,Transit,20.7056504,1.33,0.53,-0.26,6158.0,1.22
Kepler-293 c,Kepler-293,2014,Transit,54.155743,3.83,1.63,-1.63,5804.0,0.957
Kepler-873 b,Kepler-873,2016,Transit,20.5533844,3.75,1.64,-0.55,6163.0,1.27
TOI-125 d,TOI-125,2020,Transit,19.98,2.93,0.17,-0.17,5320.0,0.848
Kepler-669 b,Kepler-669,2016,Transit,4.125546869,4.83,1.28,-0.55,6038.0,1.2
Kepler-783 b,Kepler-783,2016,Transit,4.29264638,0.78,0.04,-0.08,5521.0,0.89
Kepler-142 d,Kepler-142,2014,Transit,41.809118,2.16,0.47,-0.47,5790.0,1.269
Kepler-1297 b,Kepler-1297,2016,Transit,1.68189002,0.97,0.16,-0.09,5818.0,0.99
HATS-6 b,HATS-6,2015,Transit,3.3252725,11.186582,0.212971,-0.212971,3724.0,0.57
Kepler-319 d,Kepler-319,2014,Transit,31.781925,2.29,0.35,-0.35,5526.0,0.903
Kepler-1427 b,Kepler-1427,2016,Transit,0.968972376,1.1,0.24,-0.12,5793.0,1.01
Kepler-1959 b,Kepler-1959,2021,Transit,6.38669014,1.14315727,,,5071.0,0.811
Kepler-1264 b,Kepler-1264,2016,Transit,0.968526023,1.18,0.22,-0.12,5791.0,0.98
Kepler-553 b,Kepler-553,2016,Transit,4.030467,4.74139884,0.17934369,-0.12329879,5191.0,0.902
