wavelength_A,flux,error
7318.161594275828,1.989972206115076e-12,2.8462020151880313e-15
7323.045629216143,1.981557713054416e-12,2.835872660154502e-15
7332.81373634741,1.972921175388831e-12,2.8429178566932896e-15
7342.581892383505,1.976959177960036e-12,2.845403898393481e-15
7347.465988454844,1.9862249865665316e-12,2.856556145935268e-15
7352.35009640916,1.9943571533814763e-12,2.8683335037921285e-15
7367.002490425803,1.941115454137665e-12,2.7157047312022448e-15
7376.77081042076,1.933861707922868e-12,2.8758723087809286e-15
7381.654987270119,1.9232354424303377e-12,2.8190948432935256e-15
7386.539175201487,1.941476493461103e-12,2.8463258937565673e-15
7391.423374100433,1.9488434303827074e-12,2.845739111682357e-15
7396.307583852519,1.9450266050546894e-12,2.8489004503997467e-15
7401.191804343304,1.9270657118652945e-12,2.828530366809465e-15
7410.960277083208,1.9087745706941606e-12,2.8709857757082185e-15
7415.844529103432,1.8909262176902697e-12,2.8095659343951515e-15
7425.613063872185,1.8734428071376374e-12,2.681798214081892e-15
7430.497346391803,1.880168113213565e-12,2.8005604918581806e-15
7435.381638848979,1.8836169603242414e-12,2.7012067035188034e-15
7440.26594112925,1.8900603738353228e-12,2.6954625495869983e-15
7445.150253118156,1.8902735279824334e-12,2.8534161947997962e-15
7450.034574701233,1.887979789866323e-12,2.8539623192925384e-15
7454.918905764016,1.88537683729062e-12,2.8093226241810527e-15
7459.803246192038,1.8735737787600737e-12,2.6875010751575184e-15
7469.57195468591,1.8458930130943463e-12,2.7830804846839304e-15
