wavelength_A,flux,error
3142.872687697905,4.879251977495461e-15,1.7836222909751038e-16
3145.619361096205,4.649645062417343e-15,1.7420762513545665e-16
3148.36605470458,4.542803291066001e-15,1.7244798036198484e-16
3164.846637194623,3.709028103502125e-15,1.5672135785833066e-16
3173.0871961087564,3.577932390739103e-15,1.5246708194118673e-16
3175.834088309436,3.5774800751452694e-15,1.511329388748122e-16
3184.074881705871,3.3329852854697365e-15,1.4534845823378398e-16
3186.82185155671,3.3185342681148677e-15,1.4491256713819304e-16
3189.5688406605,3.659441100703964e-15,1.4803760255285918e-16
3195.0628763715486,3.548825585814367e-15,1.4588350512376288e-16
3200.5569883282055,3.307046595525968e-15,1.4031132535003007e-16
3203.3040727389885,3.9910985452672795e-15,1.4902607676741514e-16
3206.051176019587,3.780562153480119e-15,1.459678643113535e-16
3208.7982981061296,3.954062029648585e-15,1.4779556288818126e-16
3211.5454389347406,4.050863495959648e-15,1.4882850633246808e-16
3214.29259844154,4.139608831909376e-15,1.4846950994662006e-16
3219.7869732341615,4.136999970431833e-15,1.4746140839048944e-16
3222.5341883922015,3.716930497383534e-15,1.4231753612049168e-16
3228.0286739122535,3.4814619025521796e-15,1.366835361764991e-16
3230.7759441464577,3.7602117634058605e-15,1.404520386983927e-16
3233.523232611568,3.4363601509679667e-15,1.347833104035627e-16
3236.2705392436706,3.509660052882749e-15,1.3512483673487358e-16
3239.0178639788455,3.4543189435156524e-15,1.3404330801012785e-16
3244.5125675027193,3.5073021249158298e-15,1.3399019639735705e-16
3247.259946163559,3.686825675888695e-15,1.3606000081331173e-16
3250.007342671755,3.315440903791495e-15,1.3081324051000218e-16
3255.502188974451,3.1942717818955833e-15,1.2833717791672065e-16
3263.7445906850357,3.645068645654953e-15,1.3311035415828644e-16
3266.4920929344876,3.258667885227065e-15,1.2737666902431388e-16
3269.2396125836303,3.329647340382844e-15,1.2847442372395545e-16
3274.73470382511,3.3302180288310567e-15,1.2765539580351974e-16
3277.482275289498,3.5425266253021103e-15,1.3022455261166044e-16
3280.2298638976795,3.453525485402312e-15,1.2855216546664563e-16
3288.4727319451135,3.3071232520076946e-15,1.255050835529065e-16
3291.2203884885807,3.039080946398492e-15,1.215057116133269e-16
3293.9680618558773,3.3008873954500084e-15,1.2491992937014158e-16
3299.46345880594,3.32252082868112e-15,1.2432220204206586e-16
3302.2111822606857,3.1195706757278056e-15,1.2113997866857026e-16
3304.9589222832196,3.3252791914738537e-15,1.232791074373018e-16
3310.454451775573,3.2302952461093614e-15,1.221200222583231e-16
3313.2022411173393,3.2584171634746778e-15,1.220826469295255e-16
3315.9500467707926,3.529550504066648e-15,1.3060317633908312e-16
3318.697868671897,3.369353703851284e-15,1.231466923648443e-16
3321.4457067566136,3.572630388005765e-15,1.2551233627251736e-16
3332.437219650686,3.531087233591204e-15,1.2340162281218825e-16
3335.1851376927452,3.294724383725786e-15,1.1942563692288676e-16
3337.9330715341016,3.5034019617101973e-15,1.232153020335719e-16
3340.6810211106927,3.3539959377263794e-15,1.2180234519843333e-16
3346.1769672132964,3.970197583777306e-15,1.2705140837256822e-16
