SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_good_obs_al,dist_pc
1771229948637711104,323.14848665745956,14.433187903707903,10.408238432990702,0.015356249,10.037578,0.9361105,0.99397314,0.07464888,9.444293,440,96.07773749977979
1774810748771335680,331.12733790127027,15.891049032926375,12.353596038481925,0.019987337,9.710654,0.90233994,1.299638,0.13489199,22.277971,197,80.94808968052394
1775414449374262912,333.5534876561015,17.206772154945877,17.03090700823173,0.027640611,10.752999,1.6695328,1.807944,0.19081195,41.91802,185,58.71677882549998
1779475117614723328,328.84432368793364,19.234661379649957,15.702147811394514,0.49535596,11.474589,1.9795322,22.915995,3.501236,18137.701,278,63.685555123505715
1783542176766457472,320.9235412445908,15.363324777111197,14.456894992332964,0.5618222,10.1374235,1.0668201,34.246284,5.181462,35045.4,373,69.17114639971706
1792460826680852096,326.27057434532776,19.89217313231574,27.661104662082288,0.12672158,11.553482,2.103304,5.3919787,0.7587661,622.1504,181,36.15184614701217
1795251181033043840,330.5060595806668,23.495656792407456,12.839339690043378,0.023915928,8.204299,0.70110464,1.1933695,0.1594807,23.44349,335,77.88562528456801
1870079239448856960,313.3205501379563,36.609151319492014,18.810077981126224,0.14351065,10.252639,1.373949,11.757397,1.5483272,3878.514,460,53.1629906586983
1873439140814069888,314.956826731978,41.05534942148054,13.23051822271071,0.0668378,8.785565,0.7229538,5.0296917,0.75292176,794.9723,439,75.58282927145365
1876932495406804736,339.02175189457154,23.928942075818863,10.965406172899526,0.021173086,11.428573,1.3867044,1.1350256,0.122439496,22.512564,252,91.19589226630309
1934263333784036736,341.7028254522359,44.3319533233193,197.95730094675557,0.021990642,9.005235,2.7301593,1.104833,0.18515012,56.32353,532,5.0515944358575045
1935491797510976128,343.60768786631763,44.52754766029228,10.75745027981994,0.015332804,9.908971,0.8767061,1.0968764,0.1156906,24.280966,543,92.95883076270543
1936468782311280384,347.0046882420062,47.39006650755556,24.492784439470334,0.015846329,11.807825,2.0774593,1.1070151,0.11475802,21.035168,485,40.82835099746729
1939655304450024960,357.5020985970919,47.719498302901876,10.890305955656673,0.011620677,10.49481,0.9875879,0.8644578,0.060046587,7.279582,709,91.82478472797885
1942532726377141120,347.4900136629382,47.95835063624341,32.85466572137994,0.01890892,7.6646767,1.1406612,1.0411907,0.12768275,14.089129,464,30.437077293081607
1943016133537388800,353.1904681172711,50.29588678953711,15.552327357429816,0.013851386,8.754757,0.8474302,0.9159816,0.079691604,8.89942,546,64.2990580777783
1966521286961827584,324.82160195542866,41.61038811569816,10.682997304350915,0.04532757,11.095709,1.2684984,3.0220308,0.4526684,355.55154,436,93.60668841437649
1967568881023980032,323.62849410835787,42.64353932699924,16.996177760200524,0.0125281075,10.877791,1.4358177,1.0388743,0.08773782,12.114605,434,58.83675812932906
1968760850403659264,319.03336924045976,41.343210527322114,13.840159240149493,0.012150394,10.957167,1.1892471,0.97237986,0.08805198,12.284696,467,72.2535039263897
1971859278487532416,318.68288897958223,45.4132351676413,12.03031990953362,0.05417025,11.564068,1.4848671,4.1921763,0.6358105,583.8495,446,83.12330906574928
1973167662954459136,328.21023574049855,43.93214197545942,10.095935318681686,0.50303644,11.597216,1.7440071,13.745939,5.7080855,52193.86,480,99.0497629426749
1978981124532078976,325.38067935755043,49.42723510670723,29.984798581289578,0.012650171,9.9159565,1.6263828,1.0068078,0.07523238,7.1777825,391,33.35023236154059
1982255023472352768,340.24591081200697,44.37091350640598,15.223504114042672,0.013248678,10.1632395,1.14048,0.88991773,0.06705209,8.517001,421,65.6878989560338
1982413731103832704,341.4181783892133,45.39027801355595,24.90557523010909,0.03217297,10.167712,1.5973845,2.1157472,0.28670672,123.181175,462,40.151652421626075
1983331651514526336,339.54781917251205,45.82702882195131,19.48161124892722,0.016297929,6.9269085,0.7316208,0.9756066,0.10791979,14.474614,451,51.33045656349735
1987960286235290624,339.4647274673424,49.61520544768394,29.7671861043696,0.012200191,9.820203,1.520072,0.9536977,0.070081115,7.063321,437,33.59403863347391
1998571157557797632,352.6716213171899,56.79014837930404,11.7904600796991,0.010480784,9.241274,0.78209496,0.8106201,0.04466285,2.7474449,450,84.81433237043966
