pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
TOI-2420 b,TOI-2420,2024,Transit,5.842641,0.055,0.036,-0.031,1.34,0.927,1.158,5707.0
HATS-25 b,HATS-25,2016,Transit,4.2986432,0.176,,,1.26,0.613,0.994,5715.0
HAT-P-50 b,HAT-P-50,2015,Transit,3.1220109,0.115,,,1.288,1.35,1.273,6280.0
WASP-80 b,WASP-80,2012,Transit,3.06785234,0.002,0.01,-0.002,0.999,0.538,0.577,4143.0
WASP-149 b,WASP-149,2025,Transit,1.332813,0.0,,,1.36,0.991,1.05,5750.0
TOI-2049 b,TOI-2049,2026,Transit,5.303468,0.054,0.068,-0.038,1.485,1.53,1.57,6164.0
Kepler-428 b,Kepler-428,2014,Transit,3.52563254,0.22,,,1.08,1.27,0.87,5150.0
K2-31 b,K2-31,2016,Transit,1.25785,0.0,,,1.06,1.774,0.91,5280.0
HATS-47 b,HATS-47,2020,Transit,3.9228038,0.088,,,1.117,0.369,0.674,4512.0
TOI-1107 b,TOI-1107,2022,Transit,4.0782387,0.025,0.023,-0.016,1.3,3.35,1.35,6311.0
TOI-6330 b,TOI-6330,2025,Transit,6.8500246,0.34,0.01,-0.01,0.972,10.0,0.531,3539.0
Kepler-890 b,Kepler-890,2016,Transit,52.75875577,0.0,,,0.79311268,0.184,1.09,5954.0
KELT-2 A b,KELT-2 A,2012,Transit,4.11379,0.0,,,1.35,1.7,1.54,6327.0
TOI-1273 b,TOI-1273,2024,Transit,4.631296,0.055,0.032,-0.032,0.99,0.222,1.06,5690.0
TOI-4487 A b,TOI-4487 A,2025,Transit,3.9540709,0.083,,,1.303,1.25,1.378,6206.0
TOI-2981 b,TOI-2981,2024,Transit,3.601501,0.035,,,1.19546999,2.00737249,1.03,5940.0
HAT-P-56 b,HAT-P-56,2015,Transit,2.79083,0.29,,,1.51,2.31,1.42,6566.0
WASP-168 b,WASP-168,2018,Transit,4.153658,0.0,,,1.5,0.42,1.08,6000.0
HATS-71 b,HATS-71,2020,Transit,3.7955202,0.0,,,1.024,0.37,0.4861,3405.0
KELT-6 b,KELT-6,2014,Transit,7.8457,0.22,0.11,-0.11,1.3,0.52,1.42,6102.0
Kepler-15 b,Kepler-15,2011,Transit,4.942782,0.06,,,0.96,0.66,1.018,5515.0
WASP-114 b,WASP-114,2016,Transit,1.5487743,0.012,0.022,-0.009,1.339,1.769,1.289,5940.0
